cds_data/data_100000_20_15_u_10_ppgeh.txt
copyDataFile complete
cds_query/query_100000_20_15_u_10_ppgeh.txt
copyQueryFile complete
make complete
62948 : 1.52638   : 0.64947  >> 0.64947
92523 : 1.49779   : 0.754996  >> 0.754996
__________________
52321 : 1.91419   : 0.703403  >> 0.703403
48879 : 1.91267   : 0.582871  >> 0.582871
29843 : 1.91213   : 0.709854  >> 0.709854
98208 : 1.90762   : 0.680343  >> 0.680343
98837 : 1.88935   : 0.716258  >> 0.716258
80751 : 1.88231   : 0.661642  >> 0.661642
24301 : 1.86293   : 0.84075  >> 0.84075
1858 : 1.86079   : 0.719448  >> 0.719448
92523 : 1.84507   : 0.838009  >> 0.838009
62948 : 1.82952   : 0.725731  >> 0.725731
__________________
48879 : 1.71996   : 0.500819  >> 0.500819
67739 : 1.71929   : 0.567018  >> 0.567018
86840 : 1.71316   : 0.493937  >> 0.493937
29843 : 1.70543   : 0.633484  >> 0.633484
98837 : 1.70508   : 0.592574  >> 0.592574
80751 : 1.69589   : 0.49853  >> 0.49853
1858 : 1.68745   : 0.607781  >> 0.607781
24301 : 1.68126   : 0.732027  >> 0.732027
92523 : 1.64864   : 0.709862  >> 0.709862
62948 : 1.64697   : 0.629866  >> 0.629866
__________________
48879 : 1.93893   : 0.512077  >> 0.512077
81397 : 1.93606   : 0.470283  >> 0.470283
29843 : 1.93247   : 0.609635  >> 0.609635
52321 : 1.93196   : 0.56297  >> 0.56297
98837 : 1.91052   : 0.562976  >> 0.562976
80751 : 1.89717   : 0.527417  >> 0.527417
1858 : 1.88685   : 0.558924  >> 0.558924
24301 : 1.88584   : 0.708276  >> 0.708276
92523 : 1.85929   : 0.688663  >> 0.688663
62948 : 1.85725   : 0.6021  >> 0.6021
__________________
48879 : 1.89046   : 0.615223  >> 0.615223
67739 : 1.89024   : 0.590648  >> 0.590648
52321 : 1.88585   : 0.661644  >> 0.661644
29843 : 1.88377   : 0.661648  >> 0.661648
80751 : 1.86058   : 0.628057  >> 0.628057
98837 : 1.85667   : 0.671912  >> 0.671912
24301 : 1.82999   : 0.791872  >> 0.791872
1858 : 1.82892   : 0.721029  >> 0.721029
92523 : 1.81461   : 0.771431  >> 0.771431
62948 : 1.80128   : 0.701777  >> 0.701777
__________________
52321 : 1.50751   : 0.839366  >> 0.839366
29843 : 1.49928   : 0.86873  >> 0.86873
48879 : 1.49607   : 0.765497  >> 0.765497
98208 : 1.48898   : 0.852851  >> 0.852851
98837 : 1.4842   : 0.847483  >> 0.847483
80751 : 1.47626   : 0.856841  >> 0.856841
1858 : 1.4682   : 0.873987  >> 0.873987
24301 : 1.46605   : 0.976272  >> 0.976272
92523 : 1.45542   : 0.997046  >> 0.997046
62948 : 1.42137   : 0.774366  >> 0.774366
__________________
52321 : 1.79057   : 0.703394  >> 0.703394
98208 : 1.78339   : 0.68368  >> 0.68368
48879 : 1.78104   : 0.605879  >> 0.605879
29843 : 1.77718   : 0.706632  >> 0.706632
98837 : 1.7611   : 0.738199  >> 0.738199
80751 : 1.75665   : 0.665073  >> 0.665073
24301 : 1.7326   : 0.848844  >> 0.848844
1858 : 1.72828   : 0.756516  >> 0.756516
92523 : 1.71949   : 0.838006  >> 0.838006
62948 : 1.69885   : 0.777307  >> 0.777307
__________________
68238 : 2.01499   : 0.556877  >> 0.556877
52321 : 2.01379   : 0.529581  >> 0.529581
67739 : 2.01134   : 0.477521  >> 0.477521
29843 : 2.00138   : 0.533871  >> 0.533871
98837 : 1.98784   : 0.533877  >> 0.533877
80751 : 1.98449   : 0.548617  >> 0.548617
1858 : 1.9712   : 0.60966  >> 0.60966
24301 : 1.95942   : 0.647746  >> 0.647746
62948 : 1.93779   : 0.586764  >> 0.586764
92523 : 1.92986   : 0.701784  >> 0.701784
__________________
52321 : 1.84206   : 0.49161  >> 0.49161
48879 : 1.84097   : 0.421719  >> 0.421719
86840 : 1.84062   : 0.498519  >> 0.498519
29843 : 1.8248   : 0.564978  >> 0.564978
98837 : 1.81806   : 0.50983  >> 0.50983
80751 : 1.80082   : 0.516491  >> 0.516491
1858 : 1.79892   : 0.50535  >> 0.50535
24301 : 1.79175   : 0.666812  >> 0.666812
62948 : 1.77155   : 0.564973  >> 0.564973
92523 : 1.76202   : 0.696887  >> 0.696887
__________________
67739 : 1.86076   : 0.437651  >> 0.437651
29843 : 1.85918   : 0.525249  >> 0.525249
81397 : 1.85878   : 0.479881  >> 0.479881
52321 : 1.85383   : 0.525251  >> 0.525251
98837 : 1.83199   : 0.503083  >> 0.503083
80751 : 1.82392   : 0.535991  >> 0.535991
24301 : 1.80824   : 0.62989  >> 0.62989
1858 : 1.8073   : 0.542355  >> 0.542355
62948 : 1.79325   : 0.57498  >> 0.57498
92523 : 1.77651   : 0.695251  >> 0.695251
__________________
1858 : 1.42393   : 0.467864  >> 0.467864
24301 : 1.42377   : 0.440252  >> 0.440252
